Wikipedia ID,Movie Name,Year,Character Name,Count,Full name,Normalized_name,Influence
1428048,the last of the mohicans,1992,Jack,2,Jack Winthrop,JACK,5517.866666666667
337740,bram stoker's dracula,1992,Jack,3,Jack Seward's,JACK,5517.866666666667
695266,lethal weapon 3,1992,Jack,16,Jack Travis,JACK,5517.866666666667
6804043,gladiator,2000,Noah,4,Noah,NOAH,5492.799999999999
237303,bruce almighty,2003,Evan,5,Evan Baxter,EVAN,5259.4
2046252,le samouraï,1967,Valérie,4,Valérie,VALERIE,5175.133333333331
399433,pocahontas,1995,Thomas,4,Thomas,THOMAS,5071.5
3600824,a time to kill,1996,Harry,2,Harry Rex Vonner,HARRY,5064.366666666667
5878044,picnic at hanging rock,1975,Sara,7,Believing Sara,SARA,5032.966666666666
347000,suspiria,1977,Daniel,3,Daniel,DANIEL,4999.700000000001
2422489,yellow submarine,1968,Jeremy,5,Jeremy Hillary Boob,JEREMY,4999.266666666667
1803595,the changeling,1980,Joseph,6,Joseph Carmichael,JOSEPH,4889.133333333331
32252,unbreakable,2000,Elijah,7,Elijah Price,ELIJAH,4881.5
91133,the karate kid,1984,Daniel,23,Daniel LaRusso,DANIEL,4869.833333333336
454208,the butterfly effect,2004,Evan,9,Evan Treborn,EVAN,4754.933333333334
695023,meet the parents,2000,Jack,9,Jack,JACK,4673.6
525113,tombstone,1993,Morgan,3,Morgan,MORGAN,4670.2
398934,10 things i hate about you,1999,Cameron,14,Michael warns Cameron,CAMERON,4613.5
3600824,a time to kill,1996,Jake,15,Jake Brigance,JAKE,4501.4
20179415,halloween,1978,Lindsey,2,Lindsey Wallace,LINDSEY,4348.866666666667
62668,the ring,2002,Noah,6,Noah,NOAH,4297.633333333331
451062,the dead zone,1983,Sarah,5,Sarah Bracknell,SARAH,4290.5
129493,dead poets society,1989,Cameron,2,Charlie punches Cameron,CAMERON,4120.3
1210303,constantine,2005,Gabriel,8,Gabriel,GABRIEL,4042.7333333333318
12064359,cloverfield,2008,Lily,2,Lily,LILY,3949.633333333333
26742350,the addams family,1991,Abigail,11,Abigail Craven,ABIGAIL,3876.333333333333
